asset,country,operator,supply_bucket,production_type,route,status,production_2024_kt,technical_capacity_kt,nameplate_2030_kt,start_year,ramp_years,project_probability,maintenance_allowance_pct,grade_pct,recovery_pct,political_risk,permitting_risk,infrastructure_risk,source_name,source_url,assumption_note
Cascabel,Ecuador,SolGold,Probable projects,primary,concentrate,project,0,120,112,2028,4,0.30,0.025,0.50,82,high,high,high,SolGold Cascabel,https://www.solgold.com.au/projects/cascabel/,"Large Ecuador project; probability discount reflects permitting; financing; and development timing risk."
Reko Diq,Pakistan,Barrick,Probable projects,primary,concentrate,project,0,250,250,2028,4,0.45,0.025,0.45,82,high,medium,high,Barrick Reko Diq,https://www.barrick.com/English/operations/reko-diq/default.aspx,"Phase 1 project; model uses probability-weighted ramp before full nameplate."
Resolution,United States,Rio Tinto / BHP,Possible projects,primary,concentrate,project,0,500,500,2032,5,0.12,0.025,1.50,86,medium,high,medium,Resolution Copper,https://resolutioncopper.com/,"ICSG chart shows post-2028 potential; dashboard probability is low because permitting remains highly uncertain."
Tampakan,Philippines,SMI,Possible projects,primary,concentrate,project,0,375,375,2030,5,0.18,0.025,0.50,82,high,high,high,ICSG project pipeline,https://icsg.org/copper-factbook/,"Capacity seeded from ICSG project chart; probability discounted for permitting and social opposition."
El Abra Expansion,Chile,Freeport-McMoRan,Possible projects,primary,mixed,project,0,340,340,2030,4,0.25,0.025,0.40,80,low,medium,medium,Freeport South America operations,https://www.fcx.com/operations/south-america,"ICSG chart lists El Abra expansion after 2028; model discounts timing."
La Granja,Peru,Rio Tinto / First Quantum,Possible projects,primary,concentrate,project,0,300,300,2030,4,0.25,0.025,0.45,82,medium,high,medium,Rio Tinto La Granja JV,https://www.riotinto.com/en/news/releases/2023/rio-tinto-and-first-quantum-complete-la-granja-joint-venture,"Project capacity seeded from ICSG chart; probability reflects early-stage development."
Frieda River,Papua New Guinea,PanAust,Possible projects,primary,concentrate,project,0,180,180,2030,4,0.20,0.025,0.45,82,high,high,high,PanAust Frieda River,https://www.panaust.com.au/our-business/frieda-river-project,"Infrastructure and permitting risk are high; probability-weighted contribution is small before 2035."
Pebble,United States,Northern Dynasty,Possible projects,primary,concentrate,project,0,150,150,2032,5,0.08,0.025,0.30,80,medium,high,medium,Pebble Partnership,https://pebblepartnership.com/,"Very low probability because of permitting opposition and regulatory risk."
Copper World,United States,Hudbay,Possible projects,primary,concentrate,project,0,100,100,2029,3,0.35,0.025,0.45,82,medium,high,medium,Hudbay Copper World,https://hudbayminerals.com/operations/united-states/copper-world/,"Project probability reflects state/federal permitting uncertainty."
Centinela Expansion,Chile,Antofagasta,Committed projects,primary,concentrate,project,0,170,170,2027,3,0.75,0.020,0.45,82,low,medium,medium,Antofagasta Centinela,https://www.antofagasta.co.uk/operations/mining-division/centinela/,"Expansion treated as relatively high probability after sanctioning progress."
Zafranal,Peru,Teck / Mitsubishi,Probable projects,primary,concentrate,project,0,120,120,2028,3,0.45,0.025,0.40,82,medium,medium,medium,Teck Zafranal,https://www.teck.com/operations/peru/zafranal/,"Project capacity anchored to public project materials and ICSG chart; probability discounted for execution."
Galore Creek,Canada,Newmont / Teck,Possible projects,primary,concentrate,project,0,140,140,2031,5,0.15,0.025,0.50,82,low,high,high,Galore Creek project,https://www.gcmc.ca/,"Remote infrastructure-heavy project; low probability before 2035."
Los Azules,Argentina,McEwen Copper,Possible projects,primary,concentrate,project,0,200,200,2030,4,0.25,0.025,0.45,82,high,medium,high,McEwen Copper Los Azules,https://mcewencopper.com/projects/los-azules/,"Probability discount reflects financing; permitting; infrastructure; and Argentina macro risk."
Wafi-Golpu,Papua New Guinea,Newmont / Harmony,Possible projects,primary,concentrate,project,0,175,175,2030,4,0.20,0.025,0.60,84,high,high,high,Wafi-Golpu project,https://www.wafi-golpu.com/,"Large PNG project with material permitting and infrastructure risk."
